SteamSpyPlayersEstimate,SteamSpyPlayersVariance,SteamSpyOwners,SteamSpyOwnersVariance,ResponseID,QueryID,Metacritic,DLCCount,PriceInitial,PriceFinal,AchievementCount,PackageCount,MovieCount,AchievementHighlightedCount,RequiredAge,ScreenshotCount,CategoryMultiplayer,PCReqsHaveMin,LinuxReqsHaveMin,DeveloperCount,GenreIsFreeToPlay,PCReqsHaveRec,GenreIsMassivelyMultiplayer,PublisherCount,PriceCurrency_USD,MacReqsHaveRec,GenreIsAction,PlatformMac,CategoryCoop,DemoCount,PlatformWindows,IsFree,PurchaseAvail,ControllerSupport,CategoryMMO,GenreIsCasual,GenreIsIndie,target
-0.09894336,-0.54514503,-0.13853109,-0.6082027,0.8025214,0.8019953,-0.44940695,-0.0789246,-0.7013514,-0.72670877,-0.3386386,-1.2830738,-0.2664429,-0.8666985,-0.2298847,-0.7101943,-0.5923782,0.24617021,-0.5450516,2.2113585,-0.22439817,1.1415185,-0.17209357,0.03455623,-2.0224092,-0.38893804,1.1786436,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,-2.0634234,1.6074206,-0.15736704,-0.5978047,-1.1805409,1
-0.098457925,-0.40520704,-0.13627835,-0.4571906,0.7759243,0.77537715,-0.44940695,-0.0789246,-0.31345844,-0.30787963,-0.12717138,-0.09743984,-0.2664429,0.99511856,-0.2298847,-0.39630288,-0.5923782,0.24617021,1.8346888,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,-0.38893804,-0.84843296,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,1.6727871,0.8470693,1
-0.09894336,-0.54514503,-0.13853109,-0.6082027,1.3879994,1.3879352,-0.44940695,-0.0789246,-0.7013514,-0.72670877,-0.3386386,-1.2830738,-0.2664429,-0.8666985,-0.2298847,-0.08241147,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,-0.87602615,-0.17209357,0.03455623,-2.0224092,-0.38893804,1.1786436,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,-2.0634234,-0.6221147,-0.15736704,-0.5978047,0.8470693,1
-0.085875824,-0.12492886,-0.120056905,-0.17564265,0.74802816,0.747459,-0.44940695,-0.0789246,-0.54666066,-0.5596807,-0.3386386,-0.09743984,-0.2664429,-0.8666985,-0.2298847,-0.5532486,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,-0.38893804,1.1786436,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,1.6727871,0.8470693,1
-0.09747704,-0.3011918,-0.13252321,-0.36148658,0.3096888,0.3087739,-0.44940695,-0.0789246,-0.46892658,-0.47574702,-0.3386386,-0.09743984,-0.2664429,-0.8666985,-0.2298847,0.07453424,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,-0.38893804,1.1786436,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,0.8470693,1
-0.09698341,-0.38242018,-0.12741643,-0.27268213,-0.44015795,-0.44166425,-0.44940695,-0.0789246,-0.1579903,-0.14001226,-0.3386386,-0.09743984,-0.2664429,-0.8666985,-0.2298847,0.38842565,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,-0.87602615,-0.17209357,2.9535577,0.49445972,-0.38893804,-0.84843296,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,-1.1805409,1
0.15750664,1.3158697,0.15825757,1.1249309,0.5641731,0.563459,-0.44940695,-0.0789246,-0.7013514,-0.72670877,0.4132449,-1.2830738,-0.2664429,1.2019871,-0.2298847,-0.5532486,1.6881107,0.24617021,-0.5450516,2.2113585,4.4563646,-0.87602615,5.8107924,0.03455623,-2.0224092,-0.38893804,-0.84843296,1.3770577,-0.32913208,-0.31054887,0.0,3.4814749,-2.0634234,-0.6221147,-0.15736704,1.6727871,-1.1805409,0
-0.0958395,-0.3404656,-0.1332744,-0.37751144,0.93824184,0.93782276,-0.44940695,-0.0789246,-0.31345844,-0.30787963,-0.3386386,-0.09743984,0.56662923,-0.8666985,-0.2298847,-0.7101943,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,-0.87602615,-0.17209357,0.03455623,0.49445972,-0.38893804,-0.84843296,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,0.8470693,1
-0.089305736,-0.1843087,-0.12501378,-0.23818415,-0.32091543,-0.32232767,-0.44940695,-0.0789246,-0.002522166,0.027855119,0.38974854,-0.09743984,-0.2664429,1.2019871,-0.2298847,0.07453424,1.6881107,0.24617021,-0.5450516,-0.070318796,-0.22439817,-0.87602615,-0.17209357,0.03455623,0.49445972,-0.38893804,1.1786436,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,1.6074206,-0.15736704,-0.5978047,0.8470693,1
-0.09894336,-0.54514503,-0.13853109,-0.6082027,-0.412672,-0.41415665,-0.44940695,-0.0789246,-0.002522166,0.027855119,0.38974854,-0.09743984,0.56662923,1.2019871,-0.2298847,0.70231706,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,1.1415185,5.8107924,0.03455623,0.49445972,-0.38893804,-0.84843296,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,1.6074206,6.3545704,-0.5978047,-1.1805409,1
